12.5	-3.65	0.01194617	84	7.449832213	42.0111706	0.6199683	14.5	125.724
4	-6.15	0.001048772	17	6.292853089	42.0408268	1.61674128	19.5	128.265
25	-2.1	0.000131097	73	6.292853089	42.00152689	0.060464844	11.4	133.847
12.5	-1	0.01194617	37	6.292853089	42.00346574	0.137243304	9.2	128.257
50	-3.65	0.01194617	24	8.443932733	42.0104404	0.74440052	14.5	115.298
160	0	0.003539606	86	7.449832213	42.00172668	0.09583074	7.2	112.803
8	-3.35	0.001048772	82	5.630275304	42.00592927	0.187957859	13.9	132.886
25	-2.7	0.003539606	58	6.292853089	42.00485029	0.192071484	12.6	120.497
8	-8.7	1.63871E-05	10	8.443932733	42.016104	1.1482152	24.6	124.276
16	-6.3	0.003539606	27	8.443932733	42.0483159	3.44492367	19.8	120.534
25	-1	0.01194617	99	6.292853089	42.00346574	0.137243304	9.2	121.397
31.5	-6.15	0.001048772	19	8.443932733	42.0337792	2.40845696	19.5	120.798
4	-4.95	0.003539606	89	6.292853089	42.0233328	0.92397888	17.1	128.345
4	-6.15	0.001048772	11	8.443932733	42.0337792	2.40845696	19.5	139.428
20	-6.3	0.003539606	22	8.443932733	42.0483159	3.44492367	19.8	117.504
8	-3.35	0.001048772	46	6.292853089	42.00578076	0.228918096	13.9	134.625
16	-2.1	0.000131097	28	6.292853089	42.00152689	0.060464844	11.4	130.197
63	-1	0.01194617	32	7.449832213	42.00313525	0.174006375	9.2	118.712
31.5	-3.65	0.01194617	26	8.443932733	42.0104404	0.74440052	14.5	120.458
25	0	0.000131097	19	5.630275304	42.00081216	0.025745599	7.2	134.87
160	-0.75	0.028316847	78	8.443932733	42.00336729	0.240087777	8.7	106.582
20	-2.4	1.63871E-05	5	8.443932733	42.00084863	0.060507533	12	128.398
16	-5.6	0.000131097	61	6.292853089	42.0150478	0.59589288	18.4	126.54
80	0	0.001048772	84	5.630275304	42.00150092	0.047579164	7.2	120.193
8	-8.7	1.63871E-05	13	5.630275304	42.0176631	0.55992027	24.6	139.226
6.3	-3.35	0.001048772	10	6.292853089	42.00578076	0.228918096	13.9	133.355
40	-6.35	1.63871E-05	1	6.292853089	42.0130253	0.51580188	19.9	126.537
8	-2	0.01194617	10	7.449832213	42.0042862	0.2378841	11.2	131.864
16	0	0.000131097	98	8.443932733	42.00074048	0.052796081	7.2	129.68
63	-1.5	0.028316847	2	8.443932733	42.00425727	0.303543351	10.2	116.134
40	0	0.001048772	51	5.630275304	42.00150092	0.047579164	7.2	126.933
4	-2	0.01194617	74	5.630275304	42.00509068	0.161374556	11.2	126.149
20	-7.7	0.000131097	64	5.630275304	42.0289853	0.91883401	22.6	120.835
6.3	-9.85	0.000131097	41	6.292853089	42.036484	1.4447664	26.9	120.324
10	-2.7	0.003539606	8	8.443932733	42.00401199	0.286054887	12.6	133.201
6.3	-2	0.028316847	90	6.292853089	42.00579636	0.229535856	11.2	131.073
16	-2.4	1.63871E-05	29	6.292853089	42.00090748	0.03593601	12	125.966
2.5	-7.8	0.001048772	13	8.443932733	42.0437259	3.11765667	22.8	132.158
8	-3.6	0.003539606	80	6.292853089	42.00909175	0.3600333	14.4	132.358
8	0	0.001048772	63	7.449832213	42.00131983	0.073250565	7.2	127.92
6.3	0	0.01194617	4	5.630275304	42.0027238	0.08634446	7.2	129.465
31.5	-7.7	0.000131097	65	6.292853089	42.0282593	1.11906828	22.6	120.513
50	-1	0.01194617	23	5.630275304	42.00372371	0.118041607	9.2	118.267
